"Laikotarpis","Rodiklis","Miestas","Periodiškumas","Matavimo vienetai","Reikšmė"
"2020","Vidutinė temperatūra","Biržai","metinė","°C","9.2"
"2020","Vidutinė temperatūra","Laukuva","metinė","°C","8.6"
"2020","Vidutinė temperatūra","Kaunas","metinė","°C","9.3"
"2020","Vidutinė temperatūra","Klaipėda","metinė","°C","10.0"
"2020","Vidutinė temperatūra","Šiauliai","metinė","°C","9.2"
"2020","Vidutinė temperatūra","Utena","metinė","°C","8.8"
"2020","Vidutinė temperatūra","Varėna","metinė","°C","9.0"
"2020","Vidutinė temperatūra","Vilnius","metinė","°C","9.0"
"2020","Vidutinė temperatūra","Biržai","sausio mėn.","°C","2.4"
"2020","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","1.9"
"2020","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","2.4"
"2020","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","4.4"
"2020","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","2.5"
"2020","Vidutinė temperatūra","Utena","sausio mėn.","°C","2.5"
"2020","Vidutinė temperatūra","Varėna","sausio mėn.","°C","2.3"
"2020","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","2.0"
"2020","Vidutinė temperatūra","Biržai","liepos mėn.","°C","17.0"
"2020","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","16.1"
"2020","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","17.3"
"2020","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","17.5"
"2020","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","17.0"
"2020","Vidutinė temperatūra","Utena","liepos mėn.","°C","16.9"
"2020","Vidutinė temperatūra","Varėna","liepos mėn.","°C","17.8"
"2020","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","17.6"
"2019","Vidutinė temperatūra","Biržai","metinė","°C","8.5"
"2019","Vidutinė temperatūra","Laukuva","metinė","°C","8.1"
"2019","Vidutinė temperatūra","Kaunas","metinė","°C","9.0"
"2019","Vidutinė temperatūra","Klaipėda","metinė","°C","9.7"
"2019","Vidutinė temperatūra","Šiauliai","metinė","°C","8.8"
"2019","Vidutinė temperatūra","Utena","metinė","°C","8.5"
"2019","Vidutinė temperatūra","Varėna","metinė","°C","8.8"
"2019","Vidutinė temperatūra","Vilnius","metinė","°C","8.8"
"2019","Vidutinė temperatūra","Biržai","sausio mėn.","°C","-5.1"
"2019","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","-4.4"
"2019","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","-4.4"
"2019","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","-1.2"
"2019","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","-4.0"
"2019","Vidutinė temperatūra","Utena","sausio mėn.","°C","-4.4"
"2019","Vidutinė temperatūra","Varėna","sausio mėn.","°C","-4.4"
"2019","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","-4.4"
"2019","Vidutinė temperatūra","Biržai","liepos mėn.","°C","16.9"
"2019","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","16.0"
"2019","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","17.2"
"2019","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","17.2"
"2019","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","17.0"
"2019","Vidutinė temperatūra","Utena","liepos mėn.","°C","16.5"
"2019","Vidutinė temperatūra","Varėna","liepos mėn.","°C","17.0"
"2019","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","17.1"
"2018","Vidutinė temperatūra","Biržai","metinė","°C","7.6"
"2018","Vidutinė temperatūra","Laukuva","metinė","°C","7.5"
"2018","Vidutinė temperatūra","Kaunas","metinė","°C","8.3"
"2018","Vidutinė temperatūra","Klaipėda","metinė","°C","8.8"
"2018","Vidutinė temperatūra","Šiauliai","metinė","°C","8.1"
"2018","Vidutinė temperatūra","Utena","metinė","°C","7.7"
"2018","Vidutinė temperatūra","Varėna","metinė","°C","8.0"
"2018","Vidutinė temperatūra","Vilnius","metinė","°C","8.0"
"2018","Vidutinė temperatūra","Biržai","sausio mėn.","°C","-2.1"
"2018","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","-1.9"
"2018","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","-1.6"
"2018","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","-0.1"
"2018","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","-1.6"
"2018","Vidutinė temperatūra","Utena","sausio mėn.","°C","-1.9"
"2018","Vidutinė temperatūra","Varėna","sausio mėn.","°C","-1.9"
"2018","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","-2.6"
"2018","Vidutinė temperatūra","Biržai","liepos mėn.","°C","20.0"
"2018","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","19.5"
"2018","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","20.2"
"2018","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","19.3"
"2018","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","20.2"
"2018","Vidutinė temperatūra","Utena","liepos mėn.","°C","19.7"
"2018","Vidutinė temperatūra","Varėna","liepos mėn.","°C","19.8"
"2018","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","19.5"
"2017","Vidutinė temperatūra","Biržai","metinė","°C","7.0"
"2017","Vidutinė temperatūra","Laukuva","metinė","°C","6.9"
"2017","Vidutinė temperatūra","Kaunas","metinė","°C","7.7"
"2017","Vidutinė temperatūra","Klaipėda","metinė","°C","8.4"
"2017","Vidutinė temperatūra","Šiauliai","metinė","°C","7.5"
"2017","Vidutinė temperatūra","Utena","metinė","°C","7.2"
"2017","Vidutinė temperatūra","Varėna","metinė","°C","7.5"
"2017","Vidutinė temperatūra","Vilnius","metinė","°C","7.3"
"2017","Vidutinė temperatūra","Biržai","sausio mėn.","°C","-3.3"
"2017","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","-3.3"
"2017","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","-3.7"
"2017","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","-0.9"
"2017","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","-2.7"
"2017","Vidutinė temperatūra","Utena","sausio mėn.","°C","-3.9"
"2017","Vidutinė temperatūra","Varėna","sausio mėn.","°C","-4.4"
"2017","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","-4.6"
"2017","Vidutinė temperatūra","Biržai","liepos mėn.","°C","16.1"
"2017","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","15.7"
"2017","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","16.8"
"2017","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","17.0"
"2017","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","16.4"
"2017","Vidutinė temperatūra","Utena","liepos mėn.","°C","16.4"
"2017","Vidutinė temperatūra","Varėna","liepos mėn.","°C","16.7"
"2017","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","16.7"
"2016","Vidutinė temperatūra","Biržai","metinė","°C","7.4"
"2016","Vidutinė temperatūra","Laukuva","metinė","°C","7.1"
"2016","Vidutinė temperatūra","Kaunas","metinė","°C","7.7"
"2016","Vidutinė temperatūra","Klaipėda","metinė","°C","8.6"
"2016","Vidutinė temperatūra","Šiauliai","metinė","°C","7.5"
"2016","Vidutinė temperatūra","Utena","metinė","°C","7.2"
"2016","Vidutinė temperatūra","Varėna","metinė","°C","7.4"
"2016","Vidutinė temperatūra","Vilnius","metinė","°C","7.4"
"2016","Vidutinė temperatūra","Biržai","sausio mėn.","°C","-8.3"
"2016","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","-6.9"
"2016","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","-6.9"
"2016","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","-4.1"
"2016","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","-7.5"
"2016","Vidutinė temperatūra","Utena","sausio mėn.","°C","-8.3"
"2016","Vidutinė temperatūra","Varėna","sausio mėn.","°C","-7.2"
"2016","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","-7.6"
"2016","Vidutinė temperatūra","Biržai","liepos mėn.","°C","18.7"
"2016","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","17.4"
"2016","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","18.0"
"2016","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","18.7"
"2016","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","18.5"
"2016","Vidutinė temperatūra","Utena","liepos mėn.","°C","18.3"
"2016","Vidutinė temperatūra","Varėna","liepos mėn.","°C","18.5"
"2016","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","18.2"
"2015","Vidutinė temperatūra","Biržai","metinė","°C","8.2"
"2015","Vidutinė temperatūra","Laukuva","metinė","°C","7.6"
"2015","Vidutinė temperatūra","Kaunas","metinė","°C","8.7"
"2015","Vidutinė temperatūra","Klaipėda","metinė","°C","9.0"
"2015","Vidutinė temperatūra","Šiauliai","metinė","°C","8.0"
"2015","Vidutinė temperatūra","Utena","metinė","°C","8.0"
"2015","Vidutinė temperatūra","Varėna","metinė","°C","8.2"
"2015","Vidutinė temperatūra","Vilnius","metinė","°C","8.2"
"2015","Vidutinė temperatūra","Biržai","sausio mėn.","°C","-0.8"
"2015","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","-0.7"
"2015","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","-0.4"
"2015","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","1.0"
"2015","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","-0.8"
"2015","Vidutinė temperatūra","Utena","sausio mėn.","°C","-0.7"
"2015","Vidutinė temperatūra","Varėna","sausio mėn.","°C","-0.6"
"2015","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","-1.1"
"2015","Vidutinė temperatūra","Biržai","liepos mėn.","°C","17.0"
"2015","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","15.9"
"2015","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","17.4"
"2015","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","17.2"
"2015","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","16.7"
"2015","Vidutinė temperatūra","Utena","liepos mėn.","°C","16.9"
"2015","Vidutinė temperatūra","Varėna","liepos mėn.","°C","17.5"
"2015","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","17.3"
"2014","Vidutinė temperatūra","Biržai","metinė","°C","7.8"
"2014","Vidutinė temperatūra","Laukuva","metinė","°C","7.4"
"2014","Vidutinė temperatūra","Kaunas","metinė","°C","8.2"
"2014","Vidutinė temperatūra","Klaipėda","metinė","°C","8.6"
"2014","Vidutinė temperatūra","Šiauliai","metinė","°C","7.7"
"2014","Vidutinė temperatūra","Utena","metinė","°C","7.6"
"2014","Vidutinė temperatūra","Varėna","metinė","°C","7.6"
"2014","Vidutinė temperatūra","Vilnius","metinė","°C","7.7"
"2014","Vidutinė temperatūra","Biržai","sausio mėn.","°C","-6.1"
"2014","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","-5.7"
"2014","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","-5.3"
"2014","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","-4.0"
"2014","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","-6.1"
"2014","Vidutinė temperatūra","Utena","sausio mėn.","°C","-6.4"
"2014","Vidutinė temperatūra","Varėna","sausio mėn.","°C","-6.1"
"2014","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","-6.4"
"2014","Vidutinė temperatūra","Biržai","liepos mėn.","°C","20.3"
"2014","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","19.5"
"2014","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","20.6"
"2014","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","21.1"
"2014","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","19.8"
"2014","Vidutinė temperatūra","Utena","liepos mėn.","°C","19.7"
"2014","Vidutinė temperatūra","Varėna","liepos mėn.","°C","19.6"
"2014","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","20.1"
"2013","Vidutinė temperatūra","Biržai","metinė","°C","7.3"
"2013","Vidutinė temperatūra","Laukuva","metinė","°C","6.8"
"2013","Vidutinė temperatūra","Kaunas","metinė","°C","7.8"
"2013","Vidutinė temperatūra","Klaipėda","metinė","°C","8.1"
"2013","Vidutinė temperatūra","Šiauliai","metinė","°C","7.4"
"2013","Vidutinė temperatūra","Utena","metinė","°C","7.1"
"2013","Vidutinė temperatūra","Varėna","metinė","°C","7.4"
"2013","Vidutinė temperatūra","Vilnius","metinė","°C","7.3"
"2013","Vidutinė temperatūra","Biržai","sausio mėn.","°C","-7.0"
"2013","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","-6.8"
"2013","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","-6.7"
"2013","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","-4.7"
"2013","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","-6.6"
"2013","Vidutinė temperatūra","Utena","sausio mėn.","°C","-7.3"
"2013","Vidutinė temperatūra","Varėna","sausio mėn.","°C","-6.5"
"2013","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","-7.0"
"2013","Vidutinė temperatūra","Biržai","liepos mėn.","°C","18.5"
"2013","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","17.5"
"2013","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","18.6"
"2013","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","18.0"
"2013","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","18.4"
"2013","Vidutinė temperatūra","Utena","liepos mėn.","°C","18.2"
"2013","Vidutinė temperatūra","Varėna","liepos mėn.","°C","18.3"
"2013","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","18.0"
"2012","Vidutinė temperatūra","Biržai","metinė","°C","6.5"
"2012","Vidutinė temperatūra","Laukuva","metinė","°C","6.1"
"2012","Vidutinė temperatūra","Kaunas","metinė","°C","7.0"
"2012","Vidutinė temperatūra","Klaipėda","metinė","°C","7.5"
"2012","Vidutinė temperatūra","Šiauliai","metinė","°C","6.8"
"2012","Vidutinė temperatūra","Utena","metinė","°C","6.5"
"2012","Vidutinė temperatūra","Varėna","metinė","°C","6.7"
"2012","Vidutinė temperatūra","Vilnius","metinė","°C","6.5"
"2012","Vidutinė temperatūra","Biržai","sausio mėn.","°C","-3.2"
"2012","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","-3.2"
"2012","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","-2.9"
"2012","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","-1.1"
"2012","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","-3.5"
"2012","Vidutinė temperatūra","Utena","sausio mėn.","°C","-3.8"
"2012","Vidutinė temperatūra","Varėna","sausio mėn.","°C","-3.6"
"2012","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","-3.9"
"2012","Vidutinė temperatūra","Biržai","liepos mėn.","°C","18.8"
"2012","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","17.7"
"2012","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","19.4"
"2012","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","18.7"
"2012","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","19.0"
"2012","Vidutinė temperatūra","Utena","liepos mėn.","°C","19.2"
"2012","Vidutinė temperatūra","Varėna","liepos mėn.","°C","19.6"
"2012","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","19.5"
"2011","Vidutinė temperatūra","Biržai","metinė","°C","7.6"
"2011","Vidutinė temperatūra","Laukuva","metinė","°C","6.9"
"2011","Vidutinė temperatūra","Kaunas","metinė","°C","7.8"
"2011","Vidutinė temperatūra","Klaipėda","metinė","°C","8.5"
"2011","Vidutinė temperatūra","Šiauliai","metinė","°C","7.6"
"2011","Vidutinė temperatūra","Utena","metinė","°C","7.4"
"2011","Vidutinė temperatūra","Varėna","metinė","°C","7.4"
"2011","Vidutinė temperatūra","Vilnius","metinė","°C","7.5"
"2011","Vidutinė temperatūra","Biržai","sausio mėn.","°C","-3.1"
"2011","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","-3.3"
"2011","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","-3.0"
"2011","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","-1.0"
"2011","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","-2.8"
"2011","Vidutinė temperatūra","Utena","sausio mėn.","°C","-3.2"
"2011","Vidutinė temperatūra","Varėna","sausio mėn.","°C","-2.7"
"2011","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","-3.3"
"2011","Vidutinė temperatūra","Biržai","liepos mėn.","°C","20.2"
"2011","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","18.3"
"2011","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","19.6"
"2011","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","19.0"
"2011","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","19.5"
"2011","Vidutinė temperatūra","Utena","liepos mėn.","°C","20.0"
"2011","Vidutinė temperatūra","Varėna","liepos mėn.","°C","19.2"
"2011","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","19.6"
"2010","Vidutinė temperatūra","Biržai","metinė","°C","6.1"
"2010","Vidutinė temperatūra","Laukuva","metinė","°C","5.4"
"2010","Vidutinė temperatūra","Kaunas","metinė","°C","6.5"
"2010","Vidutinė temperatūra","Klaipėda","metinė","°C","6.6"
"2010","Vidutinė temperatūra","Šiauliai","metinė","°C","6.0"
"2010","Vidutinė temperatūra","Utena","metinė","°C","6.3"
"2010","Vidutinė temperatūra","Varėna","metinė","°C","6.5"
"2010","Vidutinė temperatūra","Vilnius","metinė","°C","6.5"
"2010","Vidutinė temperatūra","Biržai","sausio mėn.","°C","-12.0"
"2010","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","-10.6"
"2010","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","-10.2"
"2010","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","-8.1"
"2010","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","-11.6"
"2010","Vidutinė temperatūra","Utena","sausio mėn.","°C","-11.1"
"2010","Vidutinė temperatūra","Varėna","sausio mėn.","°C","-10.6"
"2010","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","-10.4"
"2010","Vidutinė temperatūra","Biržai","liepos mėn.","°C","22.2"
"2010","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","20.4"
"2010","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","21.9"
"2010","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","20.9"
"2010","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","21.6"
"2010","Vidutinė temperatūra","Utena","liepos mėn.","°C","22.1"
"2010","Vidutinė temperatūra","Varėna","liepos mėn.","°C","21.7"
"2010","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","21.8"
"2009","Vidutinė temperatūra","Biržai","metinė","°C","6.9"
"2009","Vidutinė temperatūra","Laukuva","metinė","°C","6.4"
"2009","Vidutinė temperatūra","Kaunas","metinė","°C","7.2"
"2009","Vidutinė temperatūra","Klaipėda","metinė","°C","8.1"
"2009","Vidutinė temperatūra","Šiauliai","metinė","°C","7.0"
"2009","Vidutinė temperatūra","Utena","metinė","°C","6.9"
"2009","Vidutinė temperatūra","Varėna","metinė","°C","7.0"
"2009","Vidutinė temperatūra","Vilnius","metinė","°C","6.9"
"2009","Vidutinė temperatūra","Biržai","sausio mėn.","°C","-2.8"
"2009","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","-3.2"
"2009","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","-3.4"
"2009","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","-0.3"
"2009","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","-2.4"
"2009","Vidutinė temperatūra","Utena","sausio mėn.","°C","-3.1"
"2009","Vidutinė temperatūra","Varėna","sausio mėn.","°C","-3.8"
"2009","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","-3.8"
"2009","Vidutinė temperatūra","Biržai","liepos mėn.","°C","18.2"
"2009","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","17.2"
"2009","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","18.4"
"2009","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","18.7"
"2009","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","18.2"
"2009","Vidutinė temperatūra","Utena","liepos mėn.","°C","18.0"
"2009","Vidutinė temperatūra","Varėna","liepos mėn.","°C","18.3"
"2009","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","18.0"
"2008","Vidutinė temperatūra","Biržai","metinė","°C","8.1"
"2008","Vidutinė temperatūra","Laukuva","metinė","°C","7.6"
"2008","Vidutinė temperatūra","Kaunas","metinė","°C","8.5"
"2008","Vidutinė temperatūra","Klaipėda","metinė","°C","9.1"
"2008","Vidutinė temperatūra","Šiauliai","metinė","°C","8.0"
"2008","Vidutinė temperatūra","Utena","metinė","°C","8.0"
"2008","Vidutinė temperatūra","Varėna","metinė","°C","8.1"
"2008","Vidutinė temperatūra","Vilnius","metinė","°C","7.9"
"2008","Vidutinė temperatūra","Biržai","sausio mėn.","°C","0.8"
"2008","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","0.6"
"2008","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","0.8"
"2008","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","2.7"
"2008","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","1.0"
"2008","Vidutinė temperatūra","Utena","sausio mėn.","°C","0.3"
"2008","Vidutinė temperatūra","Varėna","sausio mėn.","°C","0.1"
"2008","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","-0.4"
"2008","Vidutinė temperatūra","Biržai","liepos mėn.","°C","15.6"
"2008","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","15.0"
"2008","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","16.0"
"2008","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","15.9"
"2008","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","15.5"
"2008","Vidutinė temperatūra","Utena","liepos mėn.","°C","15.4"
"2008","Vidutinė temperatūra","Varėna","liepos mėn.","°C","15.8"
"2008","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","15.8"
"2007","Vidutinė temperatūra","Biržai","metinė","°C","7.5"
"2007","Vidutinė temperatūra","Laukuva","metinė","°C","7.1"
"2007","Vidutinė temperatūra","Kaunas","metinė","°C","8.1"
"2007","Vidutinė temperatūra","Klaipėda","metinė","°C","8.8"
"2007","Vidutinė temperatūra","Šiauliai","metinė","°C","7.6"
"2007","Vidutinė temperatūra","Utena","metinė","°C","7.4"
"2007","Vidutinė temperatūra","Varėna","metinė","°C","7.8"
"2007","Vidutinė temperatūra","Vilnius","metinė","°C","7.7"
"2007","Vidutinė temperatūra","Biržai","sausio mėn.","°C","0.3"
"2007","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","0.5"
"2007","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","1.3"
